,week_end,Province,numtotal_atleast1dose,numtotal_partially,numtotal_fully,proptotal_atleast1dose,proptotal_partially,proptotal_fully,numeligible_atleast1dose,numeligible_partially,numeligible_fully,propeligible_atleast1dose,propeligible_partially,propeligible_fully
84,2021-01-30,MB,32441,23938.0,8503.0,2.35,1.74,0.62,,,,,,
85,2021-01-30,SK,27215,24143.0,3072.0,2.31,2.05,0.26,,,,,,
86,2021-01-30,AB,90238,74244.0,15994.0,2.04,1.68,0.36,,,,,,
87,2021-01-30,BC,135501,130909.0,4592.0,2.63,2.54,0.09,,,,,,
88,2021-01-30,YT,7355,7355.0,0.0,17.49,17.49,0.0,,,,,,
89,2021-01-30,NT,12233,12115.0,118.0,27.09,26.83,0.26,,,,,,
90,2021-01-30,NU,5464,5464.0,0.0,13.88,13.88,0.0,,,,,,
91,2021-02-06,CAN,901402,727623.0,173779.0,2.37,1.91,0.46,,,,,,
92,2021-02-06,NL,8890,4822.0,4068.0,1.7,0.92,0.78,,,,,,
93,2021-02-06,PEI,5302,1789.0,3513.0,3.32,1.12,2.2,,,,,,
94,2021-02-06,NS,12849,7716.0,5133.0,1.31,0.79,0.52,,,,,,
95,2021-02-06,NB,13250,7837.0,5413.0,1.7,1.0,0.69,,,,,,
96,2021-02-06,QC,257501,257501.0,,3.0,3.0,,,,,,,
97,2021-02-06,ON,277440,175696.0,101744.0,1.88,1.19,0.69,,,,,,
98,2021-02-06,MB,33641,19998.0,13643.0,2.44,1.45,0.99,,,,,,
99,2021-02-06,SK,29747,24353.0,5394.0,2.52,2.07,0.46,,,,,,
100,2021-02-06,AB,90668,68989.0,21679.0,2.05,1.56,0.49,,,,,,
101,2021-02-06,BC,142999,130871.0,12128.0,2.78,2.54,0.24,,,,,,
102,2021-02-06,YT,10447,9968.0,479.0,24.84,23.7,1.14,,,,,,
103,2021-02-06,NT,12830,12531.0,299.0,28.41,27.75,0.66,,,,,,
104,2021-02-06,NU,5838,5552.0,286.0,14.83,14.11,0.73,,,,,,
105,2021-02-13,CAN,973060,665691.0,307369.0,2.56,1.75,0.81,,,,,,
