,Province,date,numconf,numprob,numdeaths,numtotal,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
2010,MB,2020-07-19,332,11.0,7.0,343,54976.0,6,1.78,24.87,0.51,0.0,2.04,5.25,18.0,1.31,18.0,1.31,0.0,0.0,18.0,1.31,0.0,0.0,3.0,0.19,0.0,0.0
2011,ON,2020-07-19,37604,0.0,2771.0,37604,114896.0,164,0.44,255.22,18.81,3.0,7.37,3.79,1426.0,9.68,1810.0,12.28,67.0,0.45,881.0,5.98,37.0,0.25,126.0,0.85,5.0,0.04
2012,QC,2020-07-19,57466,0.0,5655.0,57466,107438.0,166,0.29,670.19,65.95,1.0,9.84,3.06,1761.0,20.54,1603.0,18.69,81.0,0.94,945.0,11.02,28.0,0.33,135.0,1.57,4.0,0.05
2013,NL,2020-07-19,262,0.0,3.0,262,62518.0,0,0.0,50.18,0.57,0.0,1.15,0.0,0.0,0.0,1.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NB,2020-07-19,169,0.0,2.0,169,62236.0,1,0.6,21.63,0.26,0.0,1.18,2.37,4.0,0.51,4.0,0.51,0.0,0.0,3.0,0.38,0.0,0.0,0.0,0.05,0.0,0.0
2015,NS,2020-07-19,1067,0.0,63.0,1067,74684.0,0,0.0,108.95,6.43,0.0,5.9,0.19,2.0,0.2,3.0,0.31,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.01,0.0,0.0
2016,PEI,2020-07-19,36,0.0,0.0,36,105504.0,0,0.0,22.55,0.0,0.0,0.0,19.44,7.0,4.39,4.0,2.51,0.0,0.0,2.0,1.25,0.0,0.0,0.0,0.18,0.0,0.0
2017,YT,2020-07-19,13,0.0,0.0,13,33910.0,0,0.0,30.91,0.0,0.0,0.0,15.38,2.0,4.76,2.0,4.76,0.0,0.0,2.0,4.76,0.0,0.0,0.0,0.68,0.0,0.0
2018,NT,2020-07-19,5,0.0,0.0,5,64237.0,0,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NU,2020-07-19,0,0.0,0.0,0,31383.0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,CAN,2020-07-19,110327,11.0,8872.0,110338,98766.0,339,0.31,290.32,23.34,4.0,8.04,4.0,4415.0,11.62,4803.0,12.64,173.0,0.46,2748.0,7.23,74.0,0.19,393.0,1.03,11.0,0.03
2022,BC,2020-07-20,3300,0.0,189.0,3300,45472.0,102,3.19,64.11,3.67,0.0,5.73,7.67,253.0,4.91,322.0,6.26,6.0,0.12,185.0,3.59,0.0,0.0,26.0,0.51,0.0,0.0
2023,AB,2020-07-20,9587,0.0,170.0,9587,131766.0,368,3.99,216.81,3.84,3.0,1.77,11.57,1109.0,25.08,1198.0,27.09,15.0,0.34,761.0,17.21,9.0,0.2,109.0,2.46,1.0,0.03
2024,SK,2020-07-20,962,0.0,15.0,962,68473.0,19,2.01,81.62,1.27,0.0,1.56,15.07,145.0,12.3,157.0,13.32,1.0,0.08,91.0,7.72,0.0,0.0,13.0,1.1,0.0,0.0
2025,MB,2020-07-20,343,11.0,7.0,354,56020.0,11,3.21,25.67,0.51,0.0,1.98,8.19,29.0,2.1,29.0,2.1,0.0,0.0,29.0,2.1,0.0,0.0,4.0,0.3,0.0,0.0
2026,ON,2020-07-20,37739,0.0,2772.0,37739,116721.0,135,0.36,256.14,18.81,1.0,7.35,3.85,1454.0,9.87,1791.0,12.16,68.0,0.46,900.0,6.11,35.0,0.24,129.0,0.87,5.0,0.03
2027,QC,2020-07-20,57616,0.0,5657.0,57616,109050.0,150,0.26,671.94,65.97,2.0,9.82,3.07,1769.0,20.63,1679.0,19.58,80.0,0.93,995.0,11.6,29.0,0.34,142.0,1.66,4.0,0.05
2028,NL,2020-07-20,262,0.0,3.0,262,63442.0,0,0.0,50.18,0.57,0.0,1.15,0.0,0.0,0.0,1.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,NB,2020-07-20,170,0.0,2.0,170,62704.0,1,0.59,21.75,0.26,0.0,1.18,2.94,5.0,0.64,5.0,0.64,0.0,0.0,4.0,0.51,0.0,0.0,1.0,0.07,0.0,0.0
2030,NS,2020-07-20,1067,0.0,63.0,1067,75239.0,0,0.0,108.95,6.43,0.0,5.9,0.09,1.0,0.1,2.0,0.2,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.01,0.0,0.0
2031,PEI,2020-07-20,36,0.0,0.0,36,107377.0,0,0.0,22.55,0.0,0.0,0.0,13.89,5.0,3.13,4.0,2.51,0.0,0.0,1.0,0.63,0.0,0.0,0.0,0.09,0.0,0.0
2032,YT,2020-07-20,13,0.0,0.0,13,34196.0,0,0.0,30.91,0.0,0.0,0.0,15.38,2.0,4.76,2.0,4.76,0.0,0.0,2.0,4.76,0.0,0.0,0.0,0.68,0.0,0.0
2033,NT,2020-07-20,5,0.0,0.0,5,64414.0,0,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,NU,2020-07-20,0,0.0,0.0,0,31713.0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,CAN,2020-07-20,111113,11.0,8878.0,111124,100200.0,786,0.71,292.39,23.36,6.0,7.99,4.29,4772.0,12.56,5190.0,13.66,170.0,0.45,2969.0,7.81,73.0,0.19,424.0,1.12,10.0,0.03
2037,BC,2020-07-21,3328,0.0,189.0,3328,45901.0,28,0.85,64.65,3.67,0.0,5.68,7.99,266.0,5.17,338.0,6.57,6.0,0.12,200.0,3.89,0.0,0.0,29.0,0.56,0.0,0.0
2038,AB,2020-07-21,9728,0.0,172.0,9728,133341.0,141,1.47,220.0,3.89,2.0,1.77,12.26,1193.0,26.98,1292.0,29.22,15.0,0.34,816.0,18.45,9.0,0.2,117.0,2.64,1.0,0.03
2039,SK,2020-07-21,970,0.0,15.0,970,69592.0,8,0.83,82.3,1.27,0.0,1.55,14.64,142.0,12.05,164.0,13.91,0.0,0.0,94.0,7.98,0.0,0.0,13.0,1.14,0.0,0.0
2040,MB,2020-07-21,353,13.0,7.0,366,56481.0,12,3.39,26.54,0.51,0.0,1.91,11.2,41.0,2.97,41.0,2.97,0.0,0.0,36.0,2.61,0.0,0.0,5.0,0.37,0.0,0.0
2041,ON,2020-07-21,37942,0.0,2773.0,37942,118140.0,203,0.54,257.51,18.82,1.0,7.31,4.12,1564.0,10.61,1882.0,12.77,67.0,0.45,992.0,6.73,35.0,0.24,142.0,0.96,5.0,0.03
2042,QC,2020-07-21,57796,0.0,5658.0,57796,110313.0,180,0.31,674.04,65.99,1.0,9.79,3.18,1840.0,21.46,1799.0,20.98,68.0,0.79,1066.0,12.43,25.0,0.29,152.0,1.78,4.0,0.04
2043,NL,2020-07-21,263,0.0,3.0,263,63961.0,1,0.38,50.37,0.57,0.0,1.14,0.38,1.0,0.19,2.0,0.38,0.0,0.0,1.0,0.19,0.0,0.0,0.0,0.03,0.0,0.0
2044,NB,2020-07-21,170,0.0,2.0,170,63065.0,0,0.0,21.75,0.26,0.0,1.18,2.94,5.0,0.64,5.0,0.64,0.0,0.0,3.0,0.38,0.0,0.0,0.0,0.05,0.0,0.0
2045,NS,2020-07-21,1067,0.0,63.0,1067,75603.0,0,0.0,108.95,6.43,0.0,5.9,0.09,1.0,0.1,2.0,0.2,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.01,0.0,0.0
2046,PEI,2020-07-21,36,0.0,0.0,36,108598.0,0,0.0,22.55,0.0,0.0,0.0,8.33,3.0,1.88,4.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,YT,2020-07-21,13,0.0,0.0,13,34481.0,0,0.0,30.91,0.0,0.0,0.0,15.38,2.0,4.76,2.0,4.76,0.0,0.0,2.0,4.76,0.0,0.0,0.0,0.68,0.0,0.0
2048,NT,2020-07-21,5,0.0,0.0,5,64923.0,0,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,NU,2020-07-21,0,0.0,0.0,0,31713.0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2051,CAN,2020-07-21,111684,13.0,8882.0,111697,101358.0,573,0.52,293.9,23.37,4.0,7.95,4.53,5058.0,13.31,5531.0,14.55,156.0,0.41,3211.0,8.45,69.0,0.18,459.0,1.21,10.0,0.03
2052,BC,2020-07-22,3362,0.0,189.0,3362,46150.0,34,1.02,65.31,3.67,0.0,5.62,8.48,285.0,5.54,354.0,6.88,3.0,0.06,213.0,4.14,0.0,0.0,30.0,0.59,0.0,0.0
2053,AB,2020-07-22,9861,0.0,174.0,9861,135108.0,133,1.37,223.0,3.93,2.0,1.76,12.69,1251.0,28.29,1379.0,31.19,16.0,0.36,867.0,19.61,11.0,0.25,124.0,2.8,2.0,0.04
2054,SK,2020-07-22,1030,0.0,15.0,1030,70214.0,60,6.19,87.39,1.27,0.0,1.46,18.45,190.0,16.12,222.0,18.83,0.0,0.0,149.0,12.64,0.0,0.0,21.0,1.81,0.0,0.0
2055,MB,2020-07-22,361,13.0,7.0,374,57360.0,8,2.19,27.12,0.51,0.0,1.87,13.1,49.0,3.55,49.0,3.55,0.0,0.0,44.0,3.19,0.0,0.0,6.0,0.46,0.0,0.0
2056,ON,2020-07-22,38107,0.0,2775.0,38107,119700.0,165,0.43,258.63,18.83,2.0,7.28,3.99,1520.0,10.32,1929.0,13.09,60.0,0.41,1055.0,7.16,23.0,0.16,151.0,1.02,3.0,0.02
2057,QC,2020-07-22,57938,0.0,5662.0,57938,111591.0,142,0.25,675.7,66.03,4.0,9.77,3.28,1903.0,22.19,1859.0,21.68,59.0,0.69,1079.0,12.58,26.0,0.3,154.0,1.8,4.0,0.04
2058,NL,2020-07-22,264,0.0,3.0,264,64409.0,1,0.38,50.56,0.57,0.0,1.14,0.76,2.0,0.38,3.0,0.57,0.0,0.0,2.0,0.38,0.0,0.0,0.0,0.05,0.0,0.0
2059,NB,2020-07-22,170,0.0,2.0,170,63517.0,0,0.0,21.75,0.26,0.0,1.18,1.76,3.0,0.38,5.0,0.64,0.0,0.0,2.0,0.26,0.0,0.0,0.0,0.04,0.0,0.0
2060,NS,2020-07-22,1067,0.0,63.0,1067,75875.0,0,0.0,108.95,6.43,0.0,5.9,0.09,1.0,0.1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,PEI,2020-07-22,36,0.0,0.0,36,109544.0,0,0.0,22.55,0.0,0.0,0.0,5.56,2.0,1.25,4.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,YT,2020-07-22,13,0.0,0.0,13,34552.0,0,0.0,30.91,0.0,0.0,0.0,15.38,2.0,4.76,2.0,4.76,0.0,0.0,2.0,4.76,0.0,0.0,0.0,0.68,0.0,0.0
2063,NT,2020-07-22,5,0.0,0.0,5,65233.0,0,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,NU,2020-07-22,0,0.0,0.0,0,31815.0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,CAN,2020-07-22,112227,13.0,8890.0,112240,102568.0,543,0.49,295.33,23.39,8.0,7.92,4.64,5208.0,13.7,5807.0,15.28,138.0,0.36,3413.0,8.98,60.0,0.16,488.0,1.28,9.0,0.02
2067,BC,2020-07-23,3392,0.0,190.0,3392,46712.0,30,0.89,65.89,3.69,1.0,5.6,8.96,304.0,5.91,364.0,7.07,4.0,0.08,222.0,4.31,1.0,0.02,32.0,0.62,0.0,0.0
2068,AB,2020-07-23,9975,0.0,176.0,9975,136953.0,114,1.16,225.58,3.98,2.0,1.76,12.96,1293.0,29.24,1456.0,32.93,15.0,0.34,861.0,19.47,11.0,0.25,123.0,2.78,2.0,0.04
2069,SK,2020-07-23,1072,0.0,16.0,1072,71267.0,42,4.08,90.95,1.36,1.0,1.49,20.34,218.0,18.5,259.0,21.97,1.0,0.08,149.0,12.64,1.0,0.08,21.0,1.81,0.0,0.01
2070,MB,2020-07-23,362,13.0,7.0,375,57904.0,1,0.27,27.19,0.51,0.0,1.87,13.07,49.0,3.55,50.0,3.63,0.0,0.0,44.0,3.19,0.0,0.0,6.0,0.46,0.0,0.0
2071,ON,2020-07-23,38210,0.0,2775.0,38210,121328.0,103,0.27,259.33,18.83,0.0,7.26,3.85,1472.0,9.99,1862.0,12.64,57.0,0.39,1047.0,7.11,18.0,0.12,150.0,1.02,3.0,0.02
2072,QC,2020-07-23,58080,0.0,5662.0,58080,113240.0,142,0.25,677.35,66.03,0.0,9.75,3.29,1913.0,22.31,1864.0,21.74,53.0,0.62,1079.0,12.58,16.0,0.19,154.0,1.8,2.0,0.03
2073,NL,2020-07-23,264,0.0,3.0,264,65527.0,0,0.0,50.56,0.57,0.0,1.14,0.76,2.0,0.38,3.0,0.57,0.0,0.0,2.0,0.38,0.0,0.0,0.0,0.05,0.0,0.0
2074,NB,2020-07-23,170,0.0,2.0,170,63929.0,0,0.0,21.75,0.26,0.0,1.18,1.76,3.0,0.38,4.0,0.51,0.0,0.0,2.0,0.26,0.0,0.0,0.0,0.04,0.0,0.0
2075,NS,2020-07-23,1067,0.0,63.0,1067,76414.0,0,0.0,108.95,6.43,0.0,5.9,0.09,1.0,0.1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076,PEI,2020-07-23,36,0.0,0.0,36,111161.0,0,0.0,22.55,0.0,0.0,0.0,5.56,2.0,1.25,3.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2077,YT,2020-07-23,13,0.0,0.0,13,34552.0,0,0.0,30.91,0.0,0.0,0.0,15.38,2.0,4.76,2.0,4.76,0.0,0.0,2.0,4.76,0.0,0.0,0.0,0.68,0.0,0.0
2078,NT,2020-07-23,5,0.0,0.0,5,65477.0,0,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2079,NU,2020-07-23,0,0.0,0.0,0,32221.0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2081,CAN,2020-07-23,112659,13.0,8894.0,112672,103960.0,432,0.38,296.46,23.4,4.0,7.89,4.67,5259.0,13.84,5868.0,15.44,130.0,0.34,3408.0,8.97,47.0,0.12,487.0,1.28,7.0,0.02
2082,BC,2020-07-24,3419,0.0,191.0,3419,47307.0,27,0.8,66.42,3.71,1.0,5.59,8.6,294.0,5.71,366.0,7.11,4.0,0.08,221.0,4.29,2.0,0.04,32.0,0.61,0.0,0.01
2083,AB,2020-07-24,10086,0.0,178.0,10086,138814.0,111,1.11,228.09,4.03,2.0,1.76,13.3,1341.0,30.33,1490.0,33.7,18.0,0.41,867.0,19.61,11.0,0.25,124.0,2.8,2.0,0.04
2084,SK,2020-07-24,1099,0.0,16.0,1099,72512.0,27,2.52,93.24,1.36,0.0,1.46,21.38,235.0,19.94,284.0,24.09,1.0,0.08,163.0,13.83,1.0,0.08,23.0,1.98,0.0,0.01
2085,MB,2020-07-24,371,13.0,7.0,384,58831.0,9,2.4,27.84,0.51,0.0,1.82,15.1,58.0,4.21,59.0,4.28,0.0,0.0,48.0,3.48,0.0,0.0,7.0,0.5,0.0,0.0
2086,ON,2020-07-24,38405,0.0,2778.0,38405,123092.0,195,0.51,260.66,18.85,3.0,7.23,3.98,1527.0,10.36,1941.0,13.17,53.0,0.36,1131.0,7.68,12.0,0.08,162.0,1.1,2.0,0.01
2087,QC,2020-07-24,58243,0.0,5663.0,58243,115059.0,163,0.28,679.25,66.04,1.0,9.72,3.37,1965.0,22.92,1927.0,22.47,51.0,0.59,1101.0,12.84,16.0,0.19,157.0,1.83,2.0,0.03
2088,NL,2020-07-24,265,0.0,3.0,265,66368.0,1,0.38,50.76,0.57,0.0,1.13,1.13,3.0,0.57,3.0,0.57,0.0,0.0,3.0,0.57,0.0,0.0,0.0,0.08,0.0,0.0
2089,NB,2020-07-24,170,0.0,2.0,170,64490.0,0,0.0,21.75,0.26,0.0,1.18,1.76,3.0,0.38,4.0,0.51,0.0,0.0,2.0,0.26,0.0,0.0,0.0,0.04,0.0,0.0
2090,NS,2020-07-24,1067,0.0,63.0,1067,76861.0,0,0.0,108.95,6.43,0.0,5.9,0.09,1.0,0.1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,PEI,2020-07-24,36,0.0,0.0,36,111975.0,0,0.0,22.55,0.0,0.0,0.0,5.56,2.0,1.25,3.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092,YT,2020-07-24,14,0.0,0.0,14,35409.0,1,7.69,33.29,0.0,0.0,0.0,21.43,3.0,7.13,3.0,7.13,0.0,0.0,1.0,2.38,0.0,0.0,0.0,0.34,0.0,0.0
2093,NT,2020-07-24,5,0.0,0.0,5,66163.0,0,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2094,NU,2020-07-24,0,0.0,0.0,0,32297.0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2096,CAN,2020-07-24,113193,13.0,8901.0,113206,105464.0,534,0.47,297.87,23.42,7.0,7.86,4.8,5432.0,14.29,6081.0,16.0,127.0,0.33,3537.0,9.31,42.0,0.11,505.0,1.33,6.0,0.02
2097,BC,2020-07-25,3419,0.0,191.0,3419,47806.0,0,0.0,66.42,3.71,0.0,5.59,8.6,294.0,5.71,366.0,7.11,4.0,0.08,221.0,4.29,2.0,0.04,32.0,0.61,0.0,0.01
2098,AB,2020-07-25,10086,0.0,178.0,10086,140791.0,0,0.0,228.09,4.03,0.0,1.76,13.3,1341.0,30.33,1490.0,33.7,18.0,0.41,867.0,19.61,11.0,0.25,124.0,2.8,2.0,0.04
2099,SK,2020-07-25,1136,0.0,16.0,1136,73872.0,37,3.37,96.38,1.36,0.0,1.41,22.71,258.0,21.89,321.0,27.23,1.0,0.08,195.0,16.54,1.0,0.08,28.0,2.36,0.0,0.01
2100,MB,2020-07-25,375,13.0,7.0,388,60031.0,4,1.04,28.13,0.51,0.0,1.8,15.98,62.0,4.5,63.0,4.57,0.0,0.0,51.0,3.7,0.0,0.0,7.0,0.53,0.0,0.0
2101,ON,2020-07-25,38543,0.0,2779.0,38543,125048.0,138,0.36,261.59,18.86,1.0,7.21,3.95,1524.0,10.34,1949.0,13.23,48.0,0.33,1103.0,7.49,11.0,0.07,158.0,1.07,2.0,0.01
2102,QC,2020-07-25,58414,0.0,5666.0,58414,116992.0,171,0.29,681.25,66.08,3.0,9.7,3.5,2045.0,23.85,2007.0,23.41,46.0,0.54,1114.0,12.99,12.0,0.14,159.0,1.86,2.0,0.02
2103,NL,2020-07-25,265,0.0,3.0,265,67226.0,0,0.0,50.76,0.57,0.0,1.13,1.13,3.0,0.57,3.0,0.57,0.0,0.0,3.0,0.57,0.0,0.0,0.0,0.08,0.0,0.0
2104,NB,2020-07-25,170,0.0,2.0,170,64930.0,0,0.0,21.75,0.26,0.0,1.18,1.76,3.0,0.38,4.0,0.51,0.0,0.0,2.0,0.26,0.0,0.0,0.0,0.04,0.0,0.0
2105,NS,2020-07-25,1067,0.0,63.0,1067,77552.0,0,0.0,108.95,6.43,0.0,5.9,0.09,1.0,0.1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2106,PEI,2020-07-25,36,0.0,0.0,36,114581.0,0,0.0,22.55,0.0,0.0,0.0,5.56,2.0,1.25,3.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2107,YT,2020-07-25,14,0.0,0.0,14,35908.0,0,0.0,33.29,0.0,0.0,0.0,21.43,3.0,7.13,3.0,7.13,0.0,0.0,1.0,2.38,0.0,0.0,0.0,0.34,0.0,0.0
2108,NT,2020-07-25,5,0.0,0.0,5,66274.0,0,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2109,NU,2020-07-25,0,0.0,0.0,0,32424.0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2111,CAN,2020-07-25,113543,13.0,8905.0,113556,107091.0,350,0.31,298.79,23.43,4.0,7.84,4.88,5536.0,14.57,6210.0,16.34,117.0,0.31,3557.0,9.36,37.0,0.1,508.0,1.34,5.0,0.01
2112,BC,2020-07-26,3419,0.0,191.0,3419,48349.0,0,0.0,66.42,3.71,0.0,5.59,8.6,294.0,5.71,366.0,7.11,4.0,0.08,221.0,4.29,2.0,0.04,32.0,0.61,0.0,0.01
2113,AB,2020-07-26,10086,0.0,178.0,10086,143186.0,0,0.0,228.09,4.03,0.0,1.76,13.3,1341.0,30.33,1490.0,33.7,18.0,0.41,867.0,19.61,11.0,0.25,124.0,2.8,2.0,0.04
2114,SK,2020-07-26,1178,0.0,16.0,1178,75399.0,42,3.7,99.94,1.36,0.0,1.36,24.53,289.0,24.52,363.0,30.8,1.0,0.08,235.0,19.94,1.0,0.08,34.0,2.85,0.0,0.01
2115,MB,2020-07-26,381,13.0,7.0,394,61059.0,6,1.55,28.57,0.51,0.0,1.78,17.26,68.0,4.93,69.0,5.0,0.0,0.0,51.0,3.7,0.0,0.0,7.0,0.53,0.0,0.0
2116,ON,2020-07-26,38680,0.0,2783.0,38680,127077.0,137,0.36,262.52,18.89,4.0,7.19,3.98,1538.0,10.44,1957.0,13.28,49.0,0.33,1076.0,7.3,12.0,0.08,154.0,1.04,2.0,0.01
2117,QC,2020-07-26,58583,0.0,5667.0,58583,118681.0,169,0.29,683.22,66.09,1.0,9.67,3.59,2104.0,24.54,2062.0,24.05,40.0,0.47,1117.0,13.03,12.0,0.14,160.0,1.86,2.0,0.02
2118,NL,2020-07-26,266,0.0,3.0,266,67864.0,1,0.38,50.95,0.57,0.0,1.13,1.5,4.0,0.77,4.0,0.77,0.0,0.0,4.0,0.77,0.0,0.0,1.0,0.11,0.0,0.0
2119,NB,2020-07-26,170,0.0,2.0,170,65211.0,0,0.0,21.75,0.26,0.0,1.18,1.76,3.0,0.38,4.0,0.51,0.0,0.0,1.0,0.13,0.0,0.0,0.0,0.02,0.0,0.0
2120,NS,2020-07-26,1067,0.0,63.0,1067,77818.0,0,0.0,108.95,6.43,0.0,5.9,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2121,PEI,2020-07-26,36,0.0,0.0,36,116072.0,0,0.0,22.55,0.0,0.0,0.0,5.56,2.0,1.25,2.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2122,YT,2020-07-26,14,0.0,0.0,14,36360.0,0,0.0,33.29,0.0,0.0,0.0,21.43,3.0,7.13,3.0,7.13,0.0,0.0,1.0,2.38,0.0,0.0,0.0,0.34,0.0,0.0
2123,NT,2020-07-26,5,0.0,0.0,5,66805.0,0,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2124,NU,2020-07-26,0,0.0,0.0,0,32831.0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2126,CAN,2020-07-26,113898,13.0,8910.0,113911,108726.0,355,0.31,299.72,23.44,5.0,7.82,4.96,5646.0,14.86,6321.0,16.63,112.0,0.29,3573.0,9.4,38.0,0.1,510.0,1.34,5.0,0.01
2127,BC,2020-07-27,3500,0.0,193.0,3500,48903.0,81,2.37,67.99,3.75,2.0,5.51,7.54,264.0,5.13,385.0,7.48,4.0,0.08,200.0,3.89,4.0,0.08,29.0,0.56,1.0,0.01
2128,AB,2020-07-27,10390,0.0,186.0,10390,145414.0,304,3.01,234.97,4.21,8.0,1.79,13.76,1430.0,32.34,1564.0,35.37,25.0,0.57,803.0,18.16,16.0,0.36,115.0,2.59,2.0,0.05
2129,SK,2020-07-27,1209,0.0,16.0,1209,76583.0,31,2.63,102.57,1.36,0.0,1.32,25.39,307.0,26.05,338.0,28.68,1.0,0.08,247.0,20.96,1.0,0.08,35.0,2.99,0.0,0.01
2130,MB,2020-07-27,387,13.0,7.0,400,62225.0,6,1.52,29.0,0.51,0.0,1.75,18.5,74.0,5.37,75.0,5.44,0.0,0.0,46.0,3.34,0.0,0.0,7.0,0.48,0.0,0.0
2131,ON,2020-07-27,38799,0.0,2784.0,38799,128852.0,119,0.31,263.33,18.9,1.0,7.18,4.01,1554.0,10.55,1960.0,13.3,47.0,0.32,1060.0,7.19,12.0,0.08,151.0,1.03,2.0,0.01
2132,QC,2020-07-27,58728,0.0,5667.0,58728,120153.0,145,0.25,684.91,66.09,0.0,9.65,3.7,2175.0,25.37,2107.0,24.57,39.0,0.45,1112.0,12.97,10.0,0.12,159.0,1.85,1.0,0.02
2133,NL,2020-07-27,266,0.0,3.0,266,68703.0,0,0.0,50.95,0.57,0.0,1.13,1.5,4.0,0.77,4.0,0.77,0.0,0.0,4.0,0.77,0.0,0.0,1.0,0.11,0.0,0.0
2134,NB,2020-07-27,170,0.0,2.0,170,65495.0,0,0.0,21.75,0.26,0.0,1.18,1.76,3.0,0.38,4.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2135,NS,2020-07-27,1067,0.0,63.0,1067,78260.0,0,0.0,108.95,6.43,0.0,5.9,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2136,PEI,2020-07-27,36,0.0,0.0,36,117582.0,0,0.0,22.55,0.0,0.0,0.0,5.56,2.0,1.25,1.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2137,YT,2020-07-27,14,0.0,0.0,14,36883.0,0,0.0,33.29,0.0,0.0,0.0,21.43,3.0,7.13,3.0,7.13,0.0,0.0,1.0,2.38,0.0,0.0,0.0,0.34,0.0,0.0
2138,NT,2020-07-27,5,0.0,0.0,5,67381.0,0,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
